AAA;SDSI;DDWM;FXU;LVOL;SCHD;XMHQ
ADFI;SEIX;DECT;FXZ;MAGA;SCHE;XMLV
AEMB;SFIG;DECW;FYC;MAGQ;SCHF;XMMO
AFIF;SGOV;DECZ;FYLD;MAGS;SCHG;XMVM
AGG;SHAG;DEEF;FYLG;MAGX;SCHH;XNAV
AGGH;SHM;DEEP;FYT;MAKX;SCHK;XNOV
AGGY;SHV;DEHP;FYX;MART;SCHM;XNTK
AGIH;SHY;DEM;GABF;MARW;SCHV;XOCT
AGRH;SHYD;DEMZ;GAMR;MARZ;SCHX;XOMO
AGZ;SHYG;DES;GAPR;MAYT;SCHY;XOP
AGZD;SHYL;DESK;GAST;MAYW;SCJ;XPH
AHYB;SIFI;DEUS;GAUG;MAYZ;SCLZ;XPND
ANGL;SIHY;DEW;GBLD;MBCC;SCZ;XPP
AOHY;SIO;DFAC;GBUY;MBOX;SDD;XRLV
APCB;SJB;DFAE;GCAD;MCH;SDEM;XRMI
APMU;SJNK;DFAI;GCLN;MCHI;SDG;XRT
ARCM;SKOR;DFAR;GCOW;MCHS;SDIV;XSD
AVIG;SLQD;DFAS;GDEC;MCSE;SDOG;XSEP
AVMU;SMB;DFAT;GDEF;MDCP;SDOW;XSHD
AVSF;SMI;DFAU;GDIV;MDEV;SDP;XSHQ
BAB;SMMU;DFAW;GDOC;MDLV;SDS;XSLV
BAMB;SMTH;DFAX;GDVD;MDPL;SDVD;XSMO
BAMU;SOF;DFE;GDX;MDY;SDVY;XSOE
BBAG;SPAB;DFEB;GDXJ;MDYG;SDY;XSVM
BBBI;SPBO;DFEM;GEM;MDYV;SEA;XSW
BBBL;SPFF;DFEN;GERM;MEDI;SECT;XT
BBBS;SPHY;DFEV;GFEB;MEDX;SEF;XTAP
BBCB;SPIB;DFGR;GFGF;MEM;SEIM;XTJA
BBHY;SPIP;DFIC;GFOF;MEMS;SEIQ;XTJL
BBIB;SPLB;DFIS;GGLL;MEMX;SEIV;XTL
BBIP;SPMB;DFIV;GGLS;METV;SELV;XTN
BBLB;SPSB;DFJ;GGM;MEXX;SEMI;XTOC
BBSA;SPSK;DFLV;GGME;MFDX;SEPT;XTR
BBSB;SPTI;DFND;GGRW;MFEM;SEPW;XUSP
BEMB;SPTL;DFNL;GGUS;MFUS;SEPZ;XVOL
BFIX;SPTS;DFNV;GHEE;MGC;SETM;XVV
BGRN;SPXB;DFRA;GII;MGK;SFEB;XXCH
BHYB;SRLN;DFSE;GINN;MGMT;SFLO;XYLD
BIL;SSFI;DFSI;GINX;MGNR;SFLR;XYLE
BILS;STAX;DFSU;GJAN;MGV;SFY;XYLG
BILZ;STIP;DFSV;GJUL;MID;SFYF;YALL
BINC;STOT;DFUS;GJUN;MIDE;SFYX;YANG
BIV;STPZ;DFUV;GK;MIDU;SGDJ;YDEC
BKAG;STXT;DFVE;GLIF;MILN;SGDM;YINN
BKHY;SUB;DFVX;GLIN;MINV;SGLC;YJUN
BKLN;SUSB;DGIN;GLOF;MISL;SH;YLDE
BKUI;SUSC;DGRE;GLOV;MJ;SHDG;YMAG
BLV;TAFI;DGRO;GLRY;MJUS;SHE;YMAR
BND;TAFL;DGRS;GMAR;MKOR;SHLD;YMAX
BNDC;TAFM;DGRW;GMAY;MLPA;SHOC;YOLO
BNDD;TAGG;DGS;GMET;MLPX;SHPP;YPS
BNDI;TAXF;DGT;GMF;MMLG;SHRT;YSEP
BNDW;TAXX;DHS;GNOM;MMSC;SHRY;YUMY
BNDX;TBF;DIA;GNOV;MMTM;SHUS;YXI
BOND;TBIL;DIEM;GNR;MNTL;SIJ;ZALT
BOXX;TBJL;DIG;GOAU;MOAT;SIL;ZECP
BRLN;TBLL;DIHP;GOCT;MODL;SILJ;ZIG
BRTR;TBT;DIM;GOEX;MOHR;SIMS;AETH
BSCO;TBUX;DINT;GOOP;MOO;SIXA;ARKA
BSCP;TBX;DIP;GOOX;MOON;SIXF;ARKB
BSCQ;TDTF;DISO;GOOY;MORT;SIXH;ARKC
BSCR;TDTT;DISV;GPIQ;MOTE;SIXJ;ARKY
BSCS;TFI;DIV;GPIX;MOTG;SIXL;ARKZ
BSCT;TFJL;DIVB;GPOW;MOTI;SIXO;BETE
BSCU;TFLO;DIVD;GQI;MOTO;SIXP;BETH
BSCV;TFLR;DIVG;GQRE;MRAD;SIXS;BITB
BSCW;THYF;DIVI;GREI;MRCP;SIZE;BITC
BSCX;TIP;DIVL;GREK;MRNY;SKF;BITI
BSJO;TIPX;DIVO;GRID;MSFD;SKRE;BITO
BSJP;TIPZ;DIVP;GRPM;MSFO;SKYU;BITX
BSJQ;TLH;DIVS;GSC;MSFU;SKYY;BRRR
BSJR;TLT;DIVY;GSEE;MSFX;SLVP;BTCO
BSJS;TLTW;DIVZ;GSEP;MSFY;SLX;BTCW
BSJT;TMF;DJAN;GSEU;MSOS;SLYG;BTF
BSJU;TMV;DJD;GSEW;MSOX;SLYV;BTFX
BSJV;TOTL;DJIA;GSFP;MSSS;SMAY;BTOP
BSMO;TOTR;DJUL;GSIB;MSTB;SMCF;CEW
BSMP;TRES;DJUN;GSID;MSTQ;SMCO;DEFI
BSMQ;TSEC;DKRB;GSIE;MSTY;SMCP;EETH
BSMR;TTT;DLN;GSJY;MSVX;SMDD;EFUT
BSMS;TUA;DLS;GSLC;MTUM;SMDV;EUO
BSMT;TUSI;DMAR;GSPY;MUSQ;SMDY;EZBC
BSMU;TYD;DMAT;GSSC;MVPA;SMH;FBTC
BSMV;TYLD;DMAY;GSUS;MVPL;SMIG;FXA
BSMW;TYO;DMCY;GTEK;MVPS;SMIN;FXB
BSSX;UBND;DMDV;GTR;MVV;SMIZ;FXC
BSV;UBT;DMXF;GUNR;MXI;SMLE;FXE
BUCK;UCON;DNL;GURU;MYLD;SMLF;FXF
BUXX;UCRD;DNOV;GUSA;MYY;SMLV;FXY
BWX;UFIV;DOCT;GUSH;MZZ;SMMD;GBTC
BWZ;UITB;DOG;GVAL;NACP;SMMV;HODL
BYLD;UJB;DOGG;GVIP;NAIL;SMN;IBIT
